term_id,db,pathway_id,pathway_name,description,pathway_size,overlap_size,Process_primary,Process_all,Generic_parent_flag,is_Metabolism,is_ECM_Remodeling_Adhesion,is_Angiogenesis_Vascular_Hemostasis,is_Immune_Checkpoint_Tcell_Regulation,is_Innate_Immunity_Myeloid_Phagocyte,is_Apoptosis_Survival,is_Stress_Response_DNA_Damage_Autophagy,is_Cell_Cycle_DNA_Replication,is_Cytokine_JAK_STAT_Signaling,is_Oncogenic_GrowthFactor_Signaling,is_Other_Mixed_or_Generic
REACTOME:R-HSA-201681,REACTOME,R-HSA-201681,TCF dependent signaling in response to WNT,R-HSA-201681,191,7,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-201722,REACTOME,R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,R-HSA-201722,62,3,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-202131,REACTOME,R-HSA-202131,Metabolism of nitric oxide: NOS3 activation and regulation,R-HSA-202131,17,1,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2022090,REACTOME,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,R-HSA-2022090,61,3,ECM_Remodeling_Adhesion,ECM_Remodeling_Adhesion,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2022377,REACTOME,R-HSA-2022377,Metabolism of Angiotensinogen to Angiotensins,R-HSA-2022377,17,1,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2022854,REACTOME,R-HSA-2022854,Keratan sulfate biosynthesis,R-HSA-2022854,29,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2022870,REACTOME,R-HSA-2022870,CS-GAG biosynthesis,R-HSA-2022870,21,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-202403,REACTOME,R-HSA-202403,TCR signaling,R-HSA-202403,113,5,Immune_Checkpoint_Tcell_Regulation,Immune_Checkpoint_Tcell_Regulation,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-202424,REACTOME,R-HSA-202424,Downstream TCR signaling,R-HSA-202424,91,4,Immune_Checkpoint_Tcell_Regulation,Immune_Checkpoint_Tcell_Regulation,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-202427,REACTOME,R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,R-HSA-202427,29,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2025928,REACTOME,R-HSA-2025928,Calcineurin activates NFAT,R-HSA-2025928,9,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-202733,REACTOME,R-HSA-202733,Cell surface interactions at the vascular wall,R-HSA-202733,233,7,Angiogenesis_Vascular_Hemostasis,Angiogenesis_Vascular_Hemostasis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2029480,REACTOME,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,R-HSA-2029480,168,4,Innate_Immunity_Myeloid_Phagocyte,Innate_Immunity_Myeloid_Phagocyte,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2029482,REACTOME,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,R-HSA-2029482,143,4,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2032785,REACTOME,R-HSA-2032785,YAP1- and WWTR1 (TAZ)-stimulated gene expression,R-HSA-2032785,15,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-203615,REACTOME,R-HSA-203615,eNOS activation,R-HSA-203615,13,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-204005,REACTOME,R-HSA-204005,COPII-mediated vesicle transport,R-HSA-204005,69,5,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-204174,REACTOME,R-HSA-204174,Regulation of pyruvate dehydrogenase (PDH) complex,R-HSA-204174,15,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-209543,REACTOME,R-HSA-209543,p75NTR recruits signalling complexes,R-HSA-209543,13,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-209822,REACTOME,R-HSA-209822,Glycoprotein hormones,R-HSA-209822,10,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-209952,REACTOME,R-HSA-209952,Peptide hormone biosynthesis,R-HSA-209952,12,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-210455,REACTOME,R-HSA-210455,Astrocytic Glutamate-Glutamine Uptake And Metabolism,R-HSA-210455,4,1,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-210744,REACTOME,R-HSA-210744,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,R-HSA-210744,16,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-210991,REACTOME,R-HSA-210991,Basigin interactions,R-HSA-210991,25,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-210993,REACTOME,R-HSA-210993,Tie2 Signaling,R-HSA-210993,18,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-211733,REACTOME,R-HSA-211733,Regulation of activated PAK-2p34 by proteasome mediated degradation,R-HSA-211733,37,3,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-211859,REACTOME,R-HSA-211859,Biological oxidations,R-HSA-211859,217,3,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-211897,REACTOME,R-HSA-211897,Cytochrome P450 - arranged by substrate type,R-HSA-211897,65,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-211945,REACTOME,R-HSA-211945,Phase I - Functionalization of compounds,R-HSA-211945,105,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-212165,REACTOME,R-HSA-212165,Epigenetic regulation of gene expression,R-HSA-212165,294,4,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2122947,REACTOME,R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription,R-HSA-2122947,48,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2122948,REACTOME,R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,R-HSA-2122948,31,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-212300,REACTOME,R-HSA-212300,PRC2 methylates histones and DNA,R-HSA-212300,44,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-212436,REACTOME,R-HSA-212436,Generic Transcription Pathway,R-HSA-212436,1230,36,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2129379,REACTOME,R-HSA-2129379,Molecules associated with elastic fibres,R-HSA-2129379,37,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2132295,REACTOME,R-HSA-2132295,MHC class II antigen presentation,R-HSA-2132295,127,4,Innate_Immunity_Myeloid_Phagocyte,Innate_Immunity_Myeloid_Phagocyte,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2142688,REACTOME,R-HSA-2142688,Synthesis of 5-eicosatetraenoic acids,R-HSA-2142688,9,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2142691,REACTOME,R-HSA-2142691,Synthesis of Leukotrienes (LT) and Eoxins (EX),R-HSA-2142691,20,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2142700,REACTOME,R-HSA-2142700,Biosynthesis of Lipoxins (LX),R-HSA-2142700,6,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2142753,REACTOME,R-HSA-2142753,Arachidonate metabolism,R-HSA-2142753,59,2,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2142845,REACTOME,R-HSA-2142845,Hyaluronan metabolism,R-HSA-2142845,20,1,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2151201,REACTOME,R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis,R-HSA-2151201,54,1,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-216083,REACTOME,R-HSA-216083,Integrin cell surface interactions,R-HSA-216083,85,7,ECM_Remodeling_Adhesion,ECM_Remodeling_Adhesion,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2160916,REACTOME,R-HSA-2160916,Hyaluronan degradation,R-HSA-2160916,16,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2168880,REACTOME,R-HSA-2168880,Scavenging of heme from plasma,R-HSA-2168880,92,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2172127,REACTOME,R-HSA-2172127,DAP12 interactions,R-HSA-2172127,45,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2173782,REACTOME,R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,R-HSA-2173782,126,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2173789,REACTOME,R-HSA-2173789,TGF-beta receptor signaling activates SMADs,R-HSA-2173789,47,1,Oncogenic_GrowthFactor_Signaling,Oncogenic_GrowthFactor_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
REACTOME:R-HSA-2173793,REACTOME,R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,R-HSA-2173793,51,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2173796,REACTOME,R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,R-HSA-2173796,36,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2179392,REACTOME,R-HSA-2179392,EGFR Transactivation by Gastrin,R-HSA-2179392,9,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2187335,REACTOME,R-HSA-2187335,The retinoid cycle in cones (daylight vision),R-HSA-2187335,7,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2187338,REACTOME,R-HSA-2187338,Visual phototransduction,R-HSA-2187338,99,5,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2197563,REACTOME,R-HSA-2197563,NOTCH2 intracellular domain regulates transcription,R-HSA-2197563,12,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2219528,REACTOME,R-HSA-2219528,PI3K/AKT Signaling in Cancer,R-HSA-2219528,113,3,Oncogenic_GrowthFactor_Signaling,Oncogenic_GrowthFactor_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
REACTOME:R-HSA-2219530,REACTOME,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,R-HSA-2219530,86,1,Oncogenic_GrowthFactor_Signaling,Oncogenic_GrowthFactor_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
REACTOME:R-HSA-2262752,REACTOME,R-HSA-2262752,Cellular responses to stress,R-HSA-2262752,791,22,Stress_Response_DNA_Damage_Autophagy,Stress_Response_DNA_Damage_Autophagy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2404192,REACTOME,R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),R-HSA-2404192,54,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2408522,REACTOME,R-HSA-2408522,Selenoamino acid metabolism,R-HSA-2408522,122,2,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2408550,REACTOME,R-HSA-2408550,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,R-HSA-2408550,4,2,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2424491,REACTOME,R-HSA-2424491,DAP12 signaling,R-HSA-2424491,29,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2428924,REACTOME,R-HSA-2428924,IGF1R signaling cascade,R-HSA-2428924,53,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2428928,REACTOME,R-HSA-2428928,IRS-related events triggered by IGF1R,R-HSA-2428928,52,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2428933,REACTOME,R-HSA-2428933,SHC-related events triggered by IGF1R,R-HSA-2428933,9,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2454202,REACTOME,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,R-HSA-2454202,197,6,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2467813,REACTOME,R-HSA-2467813,Separation of Sister Chromatids,R-HSA-2467813,178,3,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2473224,REACTOME,R-HSA-2473224,Antagonism of Activin by Follistatin,R-HSA-2473224,4,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2514856,REACTOME,R-HSA-2514856,The phototransduction cascade,R-HSA-2514856,34,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2514859,REACTOME,R-HSA-2514859,"Inactivation, recovery and regulation of the phototransduction cascade",R-HSA-2514859,33,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2555396,REACTOME,R-HSA-2555396,Mitotic Metaphase and Anaphase,R-HSA-2555396,223,5,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2559580,REACTOME,R-HSA-2559580,Oxidative Stress Induced Senescence,R-HSA-2559580,94,1,Stress_Response_DNA_Damage_Autophagy,Stress_Response_DNA_Damage_Autophagy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2559582,REACTOME,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),R-HSA-2559582,80,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2559583,REACTOME,R-HSA-2559583,Cellular Senescence,R-HSA-2559583,166,2,Stress_Response_DNA_Damage_Autophagy,Stress_Response_DNA_Damage_Autophagy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2559584,REACTOME,R-HSA-2559584,Formation of Senescence-Associated Heterochromatin Foci (SAHF),R-HSA-2559584,17,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2559586,REACTOME,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,R-HSA-2559586,60,1,Stress_Response_DNA_Damage_Autophagy,Stress_Response_DNA_Damage_Autophagy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2562578,REACTOME,R-HSA-2562578,TRIF-mediated programmed cell death,R-HSA-2562578,9,1,Apoptosis_Survival,Apoptosis_Survival,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2565942,REACTOME,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition,R-HSA-2565942,87,2,Cell_Cycle_DNA_Replication,Cell_Cycle_DNA_Replication,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
REACTOME:R-HSA-2644602,REACTOME,R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer,R-HSA-2644602,58,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2644603,REACTOME,R-HSA-2644603,Signaling by NOTCH1 in Cancer,R-HSA-2644603,58,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2644606,REACTOME,R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,R-HSA-2644606,58,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-264870,REACTOME,R-HSA-264870,Caspase-mediated cleavage of cytoskeletal proteins,R-HSA-264870,12,3,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-264876,REACTOME,R-HSA-264876,Insulin processing,R-HSA-264876,25,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2672351,REACTOME,R-HSA-2672351,Stimuli-sensing channels,R-HSA-2672351,106,5,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2682334,REACTOME,R-HSA-2682334,EPH-Ephrin signaling,R-HSA-2682334,92,4,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2871796,REACTOME,R-HSA-2871796,FCERI mediated MAPK activation,R-HSA-2871796,111,2,Oncogenic_GrowthFactor_Signaling,Oncogenic_GrowthFactor_Signaling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
REACTOME:R-HSA-2871809,REACTOME,R-HSA-2871809,FCERI mediated Ca+2 mobilization,R-HSA-2871809,110,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2871837,REACTOME,R-HSA-2871837,FCERI mediated NF-kB activation,R-HSA-2871837,147,3,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2894858,REACTOME,R-HSA-2894858,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,R-HSA-2894858,58,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2894862,REACTOME,R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,R-HSA-2894862,58,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-2980736,REACTOME,R-HSA-2980736,Peptide hormone metabolism,R-HSA-2980736,86,4,Metabolism,Metabolism,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
